S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type,State Code,State Name
131.0,1248,Karnataka Innovation and Technology Society,Organization,1247,Department of Information Technology,Department,29,KARNATAKA
132.0,1492,Karnataka Janapada Vishwavidyalaya,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
133.0,1288,Karnataka Public Works Department,Organization,1284,"Public Works, Ports and Inland Water Transport Department",Department,29,KARNATAKA
134.0,2151,Karnataka Secondary Education Examination Board,Organization,1272,Department of Public Instruction,Department,29,KARNATAKA
135.0,2150,Karnataka Slum Development Board,Organization,1311,Housing Department,Department,29,KARNATAKA
136.0,2552,Karnataka State Khadi and Village Industries Board,Organization,1410,Commerce and Industries,Department,29,KARNATAKA
137.0,1478,Karnataka State Law University,Organization,,,Department,29,KARNATAKA
138.0,2276,Karnataka State Unorganised Workers Social Security Board,Organization,1061,Department of Labour,Department,29,KARNATAKA
139.0,1499,Karnataka University Dharwad,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
140.0,2117,Krishna Bhagya Jala Nigam Ltd,Organization,1322,Water Resources Department,Department,29,KARNATAKA
141.0,1503,Kuvempu University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
142.0,2339,Madiwala Machideva Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
143.0,1502,Manasagangotri university mysore,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
144.0,1485,Mangalore University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
145.0,1407,MESCOM,Organization,1104,Energy Department,Department,29,KARNATAKA
146.0,1411,Mines and Geology Department,Organization,1410,Commerce and Industries,Department,29,KARNATAKA
147.0,2342,Nijasharana Ambigara Chowdaiah Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
148.0,1285,Ports and Inland Water Transport Department,Organization,1284,"Public Works, Ports and Inland Water Transport Department",Department,29,KARNATAKA
149.0,2167,Rajiv Gandhi University of Health Services,Organization,1106,Department of Medical Education,Department,29,KARNATAKA
150.0,1487,Rani channamma University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
151.0,1283,Registrar of Cooperative Societies,Organization,355,CO-OPERATION DEPARTMENT,Department,29,KARNATAKA
152.0,1480,Sanskrit University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
153.0,2338,Savitha samaja Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
154.0,137,SIRD,Organization,83,Karnataka State PR Department,Department,29,KARNATAKA
155.0,2165,"Survey, Settlement and Land Records (SSLR)",Organization,886,Revenue Department,Department,29,KARNATAKA
156.0,1228,Tumkur University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
157.0,1517,University of Mysore,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
158.0,2340,Uppara Samaja Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
159.0,1495,Vijayanagar Sri Krishnadevaraya University Bellary,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
160.0,2343,Vishwakarma Development Corporation,Organization,1317,Backward Classes Department,Department,29,KARNATAKA
161.0,1551,Visvesvaraya Jala Nigam Ltd,Organization,1107,Department of Water Resources,Department,29,KARNATAKA
162.0,1504,Visvesvaraya Technological University Belagavi,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
163.0,1497,VSK University,Organization,1172,Department of Higher Education,Department,29,KARNATAKA
1.0,1168,Agriculture Development and Farmers Welfare,Department,,,,32,KERALA
2.0,1226,Animal Husbandry Department,Department,,,,32,KERALA
3.0,592,Commercial Tax Department,Department,,,,32,KERALA
4.0,722,Commercial Tax Department New,Department,,,,32,KERALA
5.0,1210,Consumer Affairs Department of Kerala,Department,,,,32,KERALA
6.0,2255,Corporation Audit Office Kerala,Department,,,,32,KERALA
7.0,743,Department of Electronics and Information Technology,Department,,,,32,KERALA
8.0,2186,Department of LAW,Department,,,,32,KERALA
9.0,482,Department of Panchayati Raj and RD,Department,,,,32,KERALA
10.0,1041,Department of Woman & Child Development,Department,,,,32,KERALA
11.0,748,Devaswom Department,Department,,,,32,KERALA
12.0,1165,Directorate of Sainik Welfare,Department,,,,32,KERALA
13.0,890,Election Commission,Department,,,,32,KERALA
14.0,544,Excise Department of Kerala,Department,,,,32,KERALA
15.0,1514,Finance Department,Department,,,,32,KERALA
16.0,1227,Fisheries Department,Department,,,,32,KERALA
17.0,1169,Food and Civil Supplies,Department,,,,32,KERALA
18.0,2228,General Education Department Secretariat,Department,,,,32,KERALA
19.0,1116,Health & Family Welfare,Department,,,,32,KERALA
20.0,1211,Health & Family Welfare Department,Department,,,,32,KERALA
21.0,1219,Industries & Commerce Department,Department,,,,32,KERALA
22.0,2274,Irrigation Department Kerala,Department,,,,32,KERALA
23.0,546,Kerala Education Department,Department,,,,32,KERALA
24.0,545,Kerala Forest Department,Department,,,,32,KERALA
25.0,2351,Kerala Ground Water Department,Department,,,,32,KERALA
26.0,1518,Kerala Police Department,Department,,,,32,KERALA
27.0,2473,Kerala Soil Survey & Soil Conservation,Department,,,,32,KERALA
28.0,738,Kerala State IT Mission,Department,,,,32,KERALA
29.0,753,Kerala State Transport Project,Department,,,,32,KERALA
30.0,2350,Kerala State Water Transport Department,Department,,,,32,KERALA
31.0,242,KILA,Department,,,,32,KERALA
32.0,2227,Minority Welfare Directorate,Department,,,,32,KERALA
33.0,586,Office of the Inspector General of Registration,Department,,,,32,KERALA
34.0,1170,Planning and Economic Affairs,Department,,,,32,KERALA
35.0,1218,Planning & Economic Affairs Department,Department,,,,32,KERALA
36.0,1118,Power,Department,,,,32,KERALA
37.0,746,Public Works Department,Department,,,,32,KERALA
38.0,745,Public Works Department (National Highway),Department,,,,32,KERALA
39.0,744,Public Works Department (Roads & Bridges),Department,,,,32,KERALA
40.0,889,Revenue Department,Department,,,,32,KERALA
41.0,1171,Rural Development Department,Department,,,,32,KERALA
42.0,1513,Scheduled Castes Development Department,Department,,,,32,KERALA
43.0,1464,Scheduled Tribe Development Department,Department,,,,32,KERALA
44.0,1115,Social Justice,Department,,,,32,KERALA
45.0,580,State AG,Department,,,,32,KERALA
46.0,551,Stores Purchase Department,Department,,,,32,KERALA
47.0,34,Test Department,Department,,,,32,KERALA
48.0,2478,Transport Department Kerala,Department,,,,32,KERALA
49.0,1212,Tribal Welfare Department,Department,,,,32,KERALA
50.0,888,Urban Development Department,Department,,,,32,KERALA
51.0,1117,Water Resources,Department,,,,32,KERALA
52.0,1544,APCCF (ADMINISTRATION),Organization,545,Kerala Forest Department,Department,32,KERALA
53.0,1534,APCCF (ADMINISTRATION) - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
54.0,1549,"APCCF (F, L & R)",Organization,545,Kerala Forest Department,Department,32,KERALA
55.0,1539,"APCCF (F, L & R) - to be deleted",Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
56.0,1542,APCCF (SOCIAL FORESTRY),Organization,545,Kerala Forest Department,Department,32,KERALA
57.0,1532,APCCF (SOCIAL FORESTRY) - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
58.0,1545,APCCF (VIGILANCE & FOREST INTELLIGENCE),Organization,545,Kerala Forest Department,Department,32,KERALA
59.0,1535,APCCF (VIGILANCE & FOREST INTELLIGENCE) - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
60.0,1547,CCF (IT),Organization,545,Kerala Forest Department,Department,32,KERALA
61.0,1537,CCF (IT) - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
62.0,1548,CCF (WORKING PLAN & RESEARCH),Organization,545,Kerala Forest Department,Department,32,KERALA
63.0,1538,CCF (WORKING PLAN & RESEARCH) - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
64.0,1546,"CF (IHRD), PTP NAGAR",Organization,545,Kerala Forest Department,Department,32,KERALA
65.0,1536,"CF (IHRD), PTP NAGAR - To be deleted",Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
66.0,749,Cochin Devaswom Board,Organization,748,Devaswom Department,Department,32,KERALA
67.0,552,Directorate of Industries and Commerce,Organization,551,Stores Purchase Department,Department,32,KERALA
68.0,752,Guruvayoor Devasom Board,Organization,748,Devaswom Department,Department,32,KERALA
69.0,747,Kerala Road Fund Board,Organization,746,Public Works Department,Department,32,KERALA
70.0,1515,Kerala Social Security Pension Limited,Organization,1514,Finance Department,Department,32,KERALA
71.0,2479,Kerala State Road Transport Corporation,Organization,2478,Transport Department Kerala,Department,32,KERALA
72.0,751,Malabar Devasom board,Organization,748,Devaswom Department,Department,32,KERALA
73.0,548,"Office of the Commissioner for Government Examinations,Pareeksha Bhavan",Organization,546,Kerala Education Department,Department,32,KERALA
74.0,1543,PCCF & CWW,Organization,545,Kerala Forest Department,Department,32,KERALA
75.0,1533,PCCF & CWW - To be deleted,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
76.0,156,SIRD,Organization,482,Department of Panchayati Raj and RD,Department,32,KERALA
77.0,2532,State Horticulture Mission Kerala,Organization,1168,Agriculture Development and Farmers Welfare,Department,32,KERALA
78.0,750,Travancore Devasom Board,Organization,748,Devaswom Department,Department,32,KERALA
1.0,2283,Department of Health,Department,,,,37,LADAKH
2.0,2280,Department of Health & Medical Education,Department,,,,37,LADAKH
3.0,1525,Department of Panchayati Raj and RD,Department,,,,37,LADAKH
4.0,2173,Directorate of Social / Tribal Welfare,Department,,,,37,LADAKH
5.0,1623,District Administration,Department,,,,37,LADAKH
6.0,2277,Housing & Urban Development Department,Department,,,,37,LADAKH
7.0,1632,State Audit Department,Department,,,,37,LADAKH
8.0,1523,State Department of Revenue,Department,,,,37,LADAKH
9.0,2278,Directorate of Urban Local Bodies,Organization,2277,Housing & Urban Development Department,Department,37,LADAKH
10.0,2281,Director Health Services,Organization,2280,Department of Health & Medical Education,Department,37,LADAKH
1.0,2499,Animal Husbandry Department,Department,,,,31,LAKSHADWEEP
2.0,481,Department of Panchayati Raj and RD,Department,,,,31,LAKSHADWEEP
3.0,1042,Department of Women & Child Development,Department,,,,31,LAKSHADWEEP
4.0,892,Election Commission,Department,,,,31,LAKSHADWEEP
5.0,2498,Fisheries Department,Department,,,,31,LAKSHADWEEP
6.0,1402,General Administration Department,Department,,,,31,LAKSHADWEEP
7.0,724,Lakshadweep Administration,Department,,,,31,LAKSHADWEEP
8.0,2282,Lakshadweep Police Department,Department,,,,31,LAKSHADWEEP
9.0,2348,Public Works Department,Department,,,,31,LAKSHADWEEP
10.0,893,Revenue Department,Department,,,,31,LAKSHADWEEP
11.0,33,Test Department,Department,,,,31,LAKSHADWEEP
12.0,891,Urban Development Department,Department,,,,31,LAKSHADWEEP
13.0,158,SIRD,Organization,481,Department of Panchayati Raj and RD,Department,31,LAKSHADWEEP
1.0,779,Commarcial Tax Department,Department,,,,23,MADHYA PRADESH
2.0,1512,"Controller Weights and Measures, Madhya Pradesh",Department,,,,23,MADHYA PRADESH
3.0,1249,Co-Operation Department,Department,,,,23,MADHYA PRADESH
4.0,1250,Co-operation Department M.P.,Department,,,,23,MADHYA PRADESH
5.0,762,Department of Animal Husbandry,Department,,,,23,MADHYA PRADESH
6.0,778,Department of Ayush,Department,,,,23,MADHYA PRADESH
7.0,769,Department of Backward Classes and Minorities Welfare,Department,,,,23,MADHYA PRADESH
8.0,766,Department of Cottage & Rural Industry,Department,,,,23,MADHYA PRADESH
9.0,1382,Department of Energy,Department,,,,23,MADHYA PRADESH
10.0,776,Department of Farmers Welfare and Agriculture Development,Department,,,,23,MADHYA PRADESH
11.0,775,Department of Fishermen welfare and Fisheries Development,Department,,,,23,MADHYA PRADESH
12.0,758,"Department of Food, Civil Supplies & Consumer Protection",Department,,,,23,MADHYA PRADESH
13.0,761,Department of Industry Policy and Investment Promotion,Department,,,,23,MADHYA PRADESH
14.0,774,Department of Labour Welfare,Department,,,,23,MADHYA PRADESH
15.0,475,Department of Panchayati Raj and RD,Department,,,,23,MADHYA PRADESH
16.0,770,Department of Public Relations,Department,,,,23,MADHYA PRADESH
17.0,701,Department of Revenue and General Administration,Department,,,,23,MADHYA PRADESH
18.0,1381,Department of Science & Technology,Department,,,,23,MADHYA PRADESH
19.0,780,Department of Technical Education & Skill Development,Department,,,,23,MADHYA PRADESH
20.0,2113,Directorate Local Fund Audit Madhya Pradesh,Department,,,,23,MADHYA PRADESH
21.0,895,Election Commission,Department,,,,23,MADHYA PRADESH
22.0,764,Employment Department,Department,,,,23,MADHYA PRADESH
23.0,763,Excise Department,Department,,,,23,MADHYA PRADESH
24.0,759,Finance Department,Department,,,,23,MADHYA PRADESH
25.0,768,General Administration Department,Department,,,,23,MADHYA PRADESH
26.0,772,Higher Education Department,Department,,,,23,MADHYA PRADESH
27.0,757,Home Department,Department,,,,23,MADHYA PRADESH
28.0,792,Home Department MP,Department,,,,23,MADHYA PRADESH
29.0,777,Horticulture and Food Processing Department,Department,,,,23,MADHYA PRADESH
30.0,797,Institutional Finance Department,Department,,,,23,MADHYA PRADESH
31.0,773,Mineral Resources Department,Department,,,,23,MADHYA PRADESH
32.0,771,Planning Economic and Statistics Department,Department,,,,23,MADHYA PRADESH
33.0,152,Public Health and Family Welfare Department,Department,,,,23,MADHYA PRADESH
34.0,788,Public Health Engineering Department,Department,,,,23,MADHYA PRADESH
35.0,789,Public Work Department,Department,,,,23,MADHYA PRADESH
36.0,791,Revenue Department,Department,,,,23,MADHYA PRADESH
37.0,765,School Education Department,Department,,,,23,MADHYA PRADESH
38.0,1251,Social Justice and Disabled Persons Welfare Department,Department,,,,23,MADHYA PRADESH
39.0,25,Test Department,Department,,,,23,MADHYA PRADESH
40.0,760,Tribal Affairs Department,Department,,,,23,MADHYA PRADESH
41.0,742,Urban Administration and Housing Department,Department,,,,23,MADHYA PRADESH
42.0,894,Urban Development Department,Department,,,,23,MADHYA PRADESH
43.0,790,Water Resources Department,Department,,,,23,MADHYA PRADESH
44.0,767,Women and Child Development Department,Department,,,,23,MADHYA PRADESH
45.0,2221,DIRECTORATE OF PANCHAYAT RAJ,Organization,475,Department of Panchayati Raj and RD,Department,23,MADHYA PRADESH
46.0,147,SIRD,Organization,475,Department of Panchayati Raj and RD,Department,23,MADHYA PRADESH
47.0,2247,Water and Land Management Institute,Organization,,,Department,23,MADHYA PRADESH
1.0,54,"Agriculture, Animal Husbandry,Dairy Devlp. And Fishries Department",Department,,,,27,MAHARASHTRA
2.0,479,Department of Panchayati Raj and RD,Department,,,,27,MAHARASHTRA
3.0,2137,Directorate of Local Fund Accounts Audit,Department,,,,27,MAHARASHTRA
4.0,2154,Directorate Of Local Fund Accounts Audit Maharashtra,Department,,,,27,MAHARASHTRA
5.0,939,Election Commission,Department,,,,27,MAHARASHTRA
6.0,68,Higher Technical Education Department,Department,,,,27,MAHARASHTRA
7.0,70,Home Department,Department,,,,27,MAHARASHTRA
8.0,53,"Industry, Energy And Labour Department",Department,,,,27,MAHARASHTRA
9.0,71,Planning Department,Department,,,,27,MAHARASHTRA
10.0,58,Public Health And Family Welfare Department,Department,,,,27,MAHARASHTRA
11.0,67,Public Work Department,Department,,,,27,MAHARASHTRA
12.0,2271,Relief and Rehabilitation Department,Department,,,,27,MAHARASHTRA
13.0,55,Revenue And Forest Department,Department,,,,27,MAHARASHTRA
14.0,328,Rural Development And Water Conservation Department,Department,,,,27,MAHARASHTRA
15.0,57,School Education And Sports Department,Department,,,,27,MAHARASHTRA
16.0,66,Social Justice And Special Assistant Department,Department,,,,27,MAHARASHTRA
17.0,29,Test Department,Department,,,,27,MAHARASHTRA
18.0,327,Tourism And Culture Affairs Department,Department,,,,27,MAHARASHTRA
19.0,1583,Transport Department,Department,,,,27,MAHARASHTRA
20.0,69,Tribal Development Department,Department,,,,27,MAHARASHTRA
21.0,330,Urban Development Department,Department,,,,27,MAHARASHTRA
22.0,329,Water Resources And CADA Departrment,Department,,,,27,MAHARASHTRA
23.0,56,Water Supply And Sanitation Department,Department,,,,27,MAHARASHTRA
24.0,65,Woman And Child Development Department,Department,,,,27,MAHARASHTRA
25.0,132,SIRD,Organization,479,Department of Panchayati Raj and RD,Department,27,MAHARASHTRA
1.0,720,Department of Commerce & Industries,Department,,,,14,MANIPUR
2.0,2203,Department of Fisheries,Department,,,,14,MANIPUR
3.0,470,Department of Panchayati Raj and RD,Department,,,,14,MANIPUR
4.0,2211,Department of Tribal Affairs and Hills,Department,,,,14,MANIPUR
5.0,1043,"Dept of Social Welfare, WCD",Department,,,,14,MANIPUR
6.0,2149,"Directorate of Local Fund Audit, Manipur",Department,,,,14,MANIPUR
7.0,898,Election Commission,Department,,,,14,MANIPUR
8.0,721,Pollution Control Board,Department,,,,14,MANIPUR
9.0,897,Revenue Department,Department,,,,14,MANIPUR
10.0,2241,State Health Society Manipur,Department,,,,14,MANIPUR
11.0,16,Test Department,Department,,,,14,MANIPUR
12.0,2210,test dept,Department,,,,14,MANIPUR
13.0,2206,Tribal Affairs and Hills,Department,,,,14,MANIPUR
14.0,896,Urban Development Department,Department,,,,14,MANIPUR
15.0,127,SIRD,Organization,470,Department of Panchayati Raj and RD,Department,14,MANIPUR
1.0,174,Administrative Reforms Cell,Department,,,,17,MEGHALAYA
2.0,175,Agriculture,Department,,,,17,MEGHALAYA
3.0,1389,Agriculture Department,Department,,,,17,MEGHALAYA
4.0,190,Animal Husbandry and Veterinary,Department,,,,17,MEGHALAYA
5.0,189,Arts and Culture,Department,,,,17,MEGHALAYA
6.0,191,Border Areas Development,Department,,,,17,MEGHALAYA
7.0,192,Cabinet Affairs,Department,,,,17,MEGHALAYA
8.0,193,Chief Ministers Secretariat,Department,,,,17,MEGHALAYA
9.0,194,Communications,Department,,,,17,MEGHALAYA
10.0,195,Community and Rural Development,Department,,,,17,MEGHALAYA
11.0,196,Co-Operation,Department,,,,17,MEGHALAYA
12.0,527,Department of Commerce and Industries,Department,,,,17,MEGHALAYA
13.0,523,Department of Cooperative Societies,Department,,,,17,MEGHALAYA
14.0,526,Department of Forest,Department,,,,17,MEGHALAYA
15.0,531,Department of Handloom,Department,,,,17,MEGHALAYA
16.0,528,Department of MeECL,Department,,,,17,MEGHALAYA
17.0,472,Department of Panchayati Raj and RD,Department,,,,17,MEGHALAYA
18.0,525,Department of Planning,Department,,,,17,MEGHALAYA
19.0,524,Department of Public Health,Department,,,,17,MEGHALAYA
20.0,577,Department of Social Welfare,Department,,,,17,MEGHALAYA
21.0,529,Department of Urban Affairs,Department,,,,17,MEGHALAYA
22.0,522,Department of Water Resources,Department,,,,17,MEGHALAYA
23.0,197,District Council Affairs,Department,,,,17,MEGHALAYA
24.0,198,Education,Department,,,,17,MEGHALAYA
25.0,199,Election,Department,,,,17,MEGHALAYA
26.0,456,"Excise, Registration and Taxation",Department,,,,17,MEGHALAYA
27.0,457,Finance,Department,,,,17,MEGHALAYA
28.0,458,Fisheries,Department,,,,17,MEGHALAYA
29.0,459,Food and Civil Supplies,Department,,,,17,MEGHALAYA
30.0,1290,Food Civil Supplies and Consumer Affairs Department,Department,,,,17,MEGHALAYA
31.0,219,Forest,Department,,,,17,MEGHALAYA
32.0,460,General Administration,Department,,,,17,MEGHALAYA
33.0,461,Health and Family Welfare,Department,,,,17,MEGHALAYA
34.0,462,Home,Department,,,,17,MEGHALAYA
35.0,578,Home Department Police,Department,,,,17,MEGHALAYA
36.0,39,Housing,Department,,,,17,MEGHALAYA
37.0,40,Industries,Department,,,,17,MEGHALAYA
38.0,41,Information and Public Relations,Department,,,,17,MEGHALAYA
39.0,218,Information Technology Department,Department,,,,17,MEGHALAYA
40.0,42,Labour,Department,,,,17,MEGHALAYA
41.0,1279,Labour Department,Department,,,,17,MEGHALAYA
42.0,43,Law,Department,,,,17,MEGHALAYA
43.0,1493,Legal Metrology Department,Department,,,,17,MEGHALAYA
44.0,530,Meghalaya Rural Development Society,Department,,,,17,MEGHALAYA
45.0,44,Mining and Geology,Department,,,,17,MEGHALAYA
46.0,45,Municipal Administration,Department,,,,17,MEGHALAYA
47.0,46,Parliamentary Affairs,Department,,,,17,MEGHALAYA
48.0,47,Personnel and A.R.,Department,,,,17,MEGHALAYA
49.0,48,Planning,Department,,,,17,MEGHALAYA
50.0,49,Political,Department,,,,17,MEGHALAYA
51.0,579,Political Department,Department,,,,17,MEGHALAYA
52.0,200,Power,Department,,,,17,MEGHALAYA
53.0,201,Printing and Stationery,Department,,,,17,MEGHALAYA
54.0,202,Programme Implementation,Department,,,,17,MEGHALAYA
55.0,203,Public Health Engineering,Department,,,,17,MEGHALAYA
56.0,204,Public Works Department,Department,,,,17,MEGHALAYA
57.0,205,Reorganisation,Department,,,,17,MEGHALAYA
58.0,206,Revenue,Department,,,,17,MEGHALAYA
59.0,2160,Revenue and Disaster Management Department,Department,,,,17,MEGHALAYA
60.0,207,Secretariat Administration,Department,,,,17,MEGHALAYA
61.0,208,Sericulture and Weaving,Department,,,,17,MEGHALAYA
62.0,209,Social Welfare,Department,,,,17,MEGHALAYA
63.0,210,Soil Conservation,Department,,,,17,MEGHALAYA
64.0,211,Sports and Youth Welfare,Department,,,,17,MEGHALAYA
65.0,212,State Level Public Grievances Cell,Department,,,,17,MEGHALAYA
66.0,2322,State Rural Employment Society (SRES) C&RD,Department,,,,17,MEGHALAYA
67.0,19,Test Department,Department,,,,17,MEGHALAYA
68.0,213,Tourism,Department,,,,17,MEGHALAYA
69.0,217,Trade including Border Trade Department,Department,,,,17,MEGHALAYA
70.0,214,Transport,Department,,,,17,MEGHALAYA
71.0,215,Urban Development,Department,,,,17,MEGHALAYA
72.0,216,Weights and Measures,Department,,,,17,MEGHALAYA
73.0,129,State Institute of Rural Development,Organization,472,Department of Panchayati Raj and RD,Department,17,MEGHALAYA
1.0,1259,Agriculture Department,Department,,,,15,MIZORAM
2.0,1263,AH & Vety Department,Department,,,,15,MIZORAM
3.0,1270,Art & Culture Department,Department,,,,15,MIZORAM
4.0,1262,Commerce and Industries Department,Department,,,,15,MIZORAM
5.0,471,Department of Panchayati Raj and RD,Department,,,,15,MIZORAM
6.0,1044,"Dept of Social Welfare, WCD",Department,,,,15,MIZORAM
7.0,2148,Director of Local Fund Audit,Department,,,,15,MIZORAM
8.0,901,Election Commission,Department,,,,15,MIZORAM
9.0,1266,Environment & Climate Change Department,Department,,,,15,MIZORAM
10.0,1267,Fisheries Department,Department,,,,15,MIZORAM
11.0,1264,"Food, Civil Supplies & Consumer Affairs Department",Department,,,,15,MIZORAM
12.0,1258,Health & Family Welfare,Department,,,,15,MIZORAM
13.0,1260,Higher & Technical Education,Department,,,,15,MIZORAM
14.0,1401,Home Department,Department,,,,15,MIZORAM
15.0,599,Khadi & Village Industries Commission (Mizoram),Department,,,,15,MIZORAM
16.0,755,Local Administrative Department,Department,,,,15,MIZORAM
17.0,1268,Minor Irrigation Department,Department,,,,15,MIZORAM
18.0,1058,Mizoram State Transport Department,Department,,,,15,MIZORAM
19.0,1265,Power & Electricity Department,Department,,,,15,MIZORAM
20.0,1269,Public Health Engineering Department,Department,,,,15,MIZORAM
21.0,1257,Public Works Department,Department,,,,15,MIZORAM
22.0,899,Revenue Department,Department,,,,15,MIZORAM
23.0,1271,Rural Development Department,Department,,,,15,MIZORAM
24.0,1261,School Education Department,Department,,,,15,MIZORAM
25.0,1053,Social Welfare,Department,,,,15,MIZORAM
26.0,17,Test Department,Department,,,,15,MIZORAM
27.0,1055,Transport Department,Department,,,,15,MIZORAM
28.0,900,Urban Development Department,Department,,,,15,MIZORAM
29.0,615,Axis Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
30.0,609,Bank of Baroda,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
31.0,605,Bank of India,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
32.0,614,Bank of Maharastra,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
33.0,610,Canara Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
34.0,606,Central Bank of India,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
35.0,1056,Directorate of Social Welfare Department,Organization,1044,"Dept of Social Welfare, WCD",Department,15,MIZORAM
36.0,1057,Directorate Transport Department,Organization,1055,Transport Department,Department,15,MIZORAM
37.0,622,Federal Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
38.0,616,HDFC Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
39.0,619,ICICI Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
40.0,604,IDBI Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
41.0,611,Indian Overseas Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
42.0,617,Indusind Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
43.0,621,Mizoram Cooperative Apex Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
44.0,607,Punjab National Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
45.0,612,Punjab & Sind Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
46.0,128,SIRD,Organization,471,Department of Panchayati Raj and RD,Department,15,MIZORAM
47.0,1144,Social Welfare Department,Organization,1053,Social Welfare,Department,15,MIZORAM
48.0,620,South Indian Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
49.0,600,State Bank Of India,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
50.0,603,Syndicate Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
51.0,601,UCO Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
52.0,613,Union Bank of India,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
53.0,602,United Bank of India,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
54.0,608,Vijaya Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
55.0,618,Yes Bank,Organization,599,Khadi & Village Industries Commission (Mizoram),Department,15,MIZORAM
1.0,469,Department of Panchayati Raj and RD,Department,,,,13,NAGALAND
2.0,1045,"Dept of Social Welfare, WCD",Department,,,,13,NAGALAND
3.0,903,Directorate of Municipal Affairs,Department,,,,13,NAGALAND
4.0,904,Election Commission,Department,,,,13,NAGALAND
5.0,2529,"Employment, Skill Development and Entrepreneurship",Department,,,,13,NAGALAND
6.0,1627,Home Department,Department,,,,13,NAGALAND
7.0,902,Revenue Department,Department,,,,13,NAGALAND
8.0,1653,SCHOOL EDUCATION,Department,,,,13,NAGALAND
9.0,15,Test Department,Department,,,,13,NAGALAND
10.0,1654,NAGALAND BOARD OF SCHOOL EDUCATION,Organization,1653,SCHOOL EDUCATION,Department,13,NAGALAND
11.0,126,SIRD,Organization,469,Department of Panchayati Raj and RD,Department,13,NAGALAND
1.0,62,Agriculture,Department,,,,21,ODISHA
2.0,1289,COMMERCE AND TRANSPORT,Department,,,,21,ODISHA
3.0,317,Department Of Health and Family Welfare Odisha,Department,,,,21,ODISHA
4.0,2325,Direcotr Public,Department,,,,21,ODISHA
5.0,737,Directorate of Agriculture and Food Production,Department,,,,21,ODISHA
6.0,785,Directorate of Family Welfare,Department,,,,21,ODISHA
7.0,736,Directorate of Horticulture,Department,,,,21,ODISHA
8.0,2112,"Directorate of Local Fund Audit, Odisha",Department,,,,21,ODISHA
9.0,1425,Directorate of Public Health,Department,,,,21,ODISHA
10.0,2324,Director Public,Department,,,,21,ODISHA
