S.No.,Organization Code,Organization Name,Organization Type,Parent Organization Code,Parent Organization Name,Parent Organization Type
529.0,1816,HPCL BIOFUELS LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
530.0,1817,HPCL RAJASTHAN REFINERY LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
531.0,1660,Indian Council of Agricultural Research,Organization,498,MINISTRY OF AGRICULTURE AND FARMERS WELFARE,Ministry
532.0,1643,"Indian Council of Forestry, Research and Education, Dehradun",Organization,493,"Ministry of Environment,forests and climate change",Ministry
533.0,1670,INDIAN MEDICINES & PHARMACEUTICAL CORPN. LTD.,Organization,1561,Ministry Of Ayush,Ministry
534.0,1818,INDIAN OIL CORPORATION LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
535.0,2303,INDIAN PORTS GLOBAL LTD,Organization,1580,Ministry Of Shipping,Ministry
536.0,1907,INDIAN RAILWAY CATERING AND TOURISM CORPN. LTD.,Organization,1163,Ministry of Railways,Ministry
537.0,1908,INDIAN RAILWAY FINANCE CORPORATION LTD.,Organization,1163,Ministry of Railways,Ministry
538.0,2012,INDIAN RENEWABLE ENERGY DEVT.AGENCY LTD.,Organization,502,MINISTRY OF NEW AND RENEWABLE ENERGY,Ministry
539.0,1976,INDIA TOURISM DEV. CORPN. LTD.,Organization,1582,Ministry Of Tourism,Ministry
540.0,2302,INDIA UNITED TEXTILE MILLS LTD.,Organization,504,Ministry of Textiles,Ministry
541.0,1819,INDO CAT PRIVATE LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
542.0,1936,INLAND & COASTAL SHIPPING LTD.,Organization,1580,Ministry Of Shipping,Ministry
543.0,1909,IRCON DAVANAGERE HAVERI HIGHWAY LTD.,Organization,1163,Ministry of Railways,Ministry
544.0,1910,IRCON INFRASTRUCTURE & SERVICES LTD.,Organization,1163,Ministry of Railways,Ministry
545.0,1911,IRCON INTERNATIONAL LTD.,Organization,1163,Ministry of Railways,Ministry
546.0,1912,IRCON PB TOLLWAY LTD.,Organization,1163,Ministry of Railways,Ministry
547.0,1913,IRCON SHIVPURI GUNA TOLLWAY LTD.,Organization,1163,Ministry of Railways,Ministry
548.0,1914,IRCON VADODARA KIM EXPRESSWAY LTD.,Organization,1163,Ministry of Railways,Ministry
549.0,1848,JAM KHAMBALIYA TRANSCO LTD.,Organization,492,Ministry of Power,Ministry
550.0,1708,JHARKHAND CENTRAL RAILWAY LTD.,Organization,1564,Ministry Of Coal,Ministry
551.0,1849,JHARKHAND INFRAPOWER LTD.,Organization,492,Ministry of Power,Ministry
552.0,1950,JHARKHAND KOLHAN STEEL LTD.,Organization,1581,Ministry Of Steel,Ministry
553.0,1951,JHARKHAND NATIONAL MINERAL DEVPT. CORPORATION LTD.,Organization,1581,Ministry Of Steel,Ministry
554.0,1949,J & K MINERAL DEVELOPMENT CORPN. LTD.,Organization,1581,Ministry Of Steel,Ministry
555.0,1937,KAMARAJAR PORT LTD.,Organization,1580,Ministry Of Shipping,Ministry
556.0,1850,KANTI BIJLEE UTPADAN NIGAM LTD.,Organization,492,Ministry of Power,Ministry
557.0,1952,KARNATAKA VIJAY NAGAR STEEL LTD.,Organization,1581,Ministry Of Steel,Ministry
558.0,2304,KARUR TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
559.0,1851,KHETRI TRANSCO LTD.,Organization,492,Ministry of Power,Ministry
560.0,1953,KIOCL LTD.,Organization,1581,Ministry Of Steel,Ministry
561.0,1853,KODERMA TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
562.0,1852,KODERMA TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
563.0,1915,KOLKATA METRO RAIL CORPORATION LTD.,Organization,1163,Ministry of Railways,Ministry
564.0,2305,KONKAN LNG LIMITED,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
565.0,1916,KONKAN RAILWAY CORPORATION LTD.,Organization,1163,Ministry of Railways,Ministry
566.0,2306,KOPPAL-NARENDRA TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
567.0,1977,KUMARAKRUPPA FRONTIER HOTELS PVT. LTD.,Organization,1582,Ministry Of Tourism,Ministry
568.0,1854,LAKADIA BANASKANTHA TRANSCO LTD.,Organization,492,Ministry of Power,Ministry
569.0,2307,LANCOTEESTA HYDRO POWER LTD,Organization,492,Ministry of Power,Ministry
570.0,1855,LOKTAK DOWNSTREAM HYDROELECTRIC CORPORATION LTD.,Organization,492,Ministry of Power,Ministry
571.0,1709,MAHANADI BASIN POWER LTD.,Organization,1564,Ministry Of Coal,Ministry
572.0,1711,MAHANADI COALFIELDLS LTD.,Organization,1564,Ministry Of Coal,Ministry
573.0,1710,MAHANADI COAL RAILWAY LTD.,Organization,1564,Ministry Of Coal,Ministry
574.0,1856,MANDAR TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
575.0,1820,MANGALORE REFINERY & PETROCHEMICALS LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
576.0,1955,MECON LTD.,Organization,1581,Ministry Of Steel,Ministry
577.0,1801,MINERAL EXPLORATION CORPN. LTD.,Organization,1576,Ministry Of Mines,Ministry
578.0,1712,MJSJ COAL LTD.,Organization,1564,Ministry Of Coal,Ministry
579.0,1713,MNH SHAKTI LTD.,Organization,1564,Ministry Of Coal,Ministry
580.0,1857,MOHINDER GARH-BHIWANI TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
581.0,1956,MOIL LTD.,Organization,1581,Ministry Of Steel,Ministry
582.0,1954,M S T C LTD.,Organization,1581,Ministry Of Steel,Ministry
583.0,1917,MUMBAI RAILWAY VIKAS CORPORATION LTD.,Organization,1163,Ministry of Railways,Ministry
584.0,1858,NABINAGAR POWER GENERATING COMPANY LTD.,Organization,492,Ministry of Power,Ministry
585.0,1802,NATIONAL ALUMINIUM COMPANY LTD.,Organization,1576,Ministry Of Mines,Ministry
586.0,1798,NATIONAL FILM DEV. CORPN. LTD.,Organization,1575,Ministry Of Information And Broadcasting,Ministry
587.0,1971,NATIONAL HANDLOOM DEVELOPMENT CORPORATION LTD.,Organization,504,Ministry of Textiles,Ministry
588.0,2106,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPN. LTD.,Organization,1146,Ministry of Road Transport & Highways,Ministry
589.0,1926,NATIONAL HIGHWAYS & INFRASTRUCTURE DEVELOPMENT CORPN. LTD.,Organization,1146,Ministry of Road Transport & Highways,Ministry
590.0,1972,NATIONAL JUTE MANUFACTURES CORPORATION LTD.,Organization,504,Ministry of Textiles,Ministry
591.0,1803,NATIONAL MINORITIES DEVP. & FINANCE CORPORATION,Organization,521,Ministry of Minority Affairs,Ministry
592.0,2014,NATIONAL PROJECTS CONSTRUCTION CORPN. LTD.,Organization,491,"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVENATION",Ministry
593.0,1931,NATIONAL RESEARCH DEVELOPMENT CORPN.,Organization,,,Ministry
594.0,1983,NATIONAL SCHEDULED TRIBES FINANCE & DEVP. CORPN.,Organization,490,Ministry of Tribal Affarirs,Ministry
595.0,1799,NATIONAL SMALL INDUSTRIES CORPN. LTD.,Organization,497,"Ministry of Micro, Small and Medium Enterprises",Ministry
596.0,1973,NATIONAL TEXTILE CORPN. LTD.,Organization,504,Ministry of Textiles,Ministry
597.0,2008,NBCC ENGINEERING AND CONSULTANCY LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
598.0,2009,NBCC ENVIRONMENT ENGINEERING LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
599.0,2007,NBCC (INDIA) LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
600.0,2010,NBCC INTERNATIONAL LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
601.0,2011,NBCC SERVICES LTD.,Organization,518,MINISTRY OF HOUSING & URBAN AFFAIRS,Ministry
602.0,2310,NEW CITY OF BOMBAY MFG. MILLS LTD.,Organization,504,Ministry of Textiles,Ministry
603.0,1714,NEYVELI UTTAR PRADESH POWER LTD,Organization,1564,Ministry Of Coal,Ministry
604.0,1859,NHDC LTD.,Organization,492,Ministry of Power,Ministry
605.0,1860,NHPC LTD.,Organization,492,Ministry of Power,Ministry
606.0,1715,NLC INDIA LTD.,Organization,1564,Ministry Of Coal,Ministry
607.0,1716,NLC TAMIL NADU POWER LTD.,Organization,1564,Ministry Of Coal,Ministry
608.0,1961,NMDC-CMDC LTD.,Organization,1581,Ministry Of Steel,Ministry
609.0,1957,NMDC CSR FOUNDATION,Organization,1581,Ministry Of Steel,Ministry
610.0,1958,NMDC Ltd.,Organization,1581,Ministry Of Steel,Ministry
611.0,1959,NMDC POWER LTD.,Organization,1581,Ministry Of Steel,Ministry
612.0,1960,NMDC STEEL LTD.,Organization,1581,Ministry Of Steel,Ministry
613.0,1861,NORTH EASTERN ELECTRIC POWER CORPORATION LTD.,Organization,492,Ministry of Power,Ministry
614.0,1754,NORTH EASTERN HANDICRAFTS & HANDLOOM DEV.CORPN. LTD.,Organization,1570,Ministry Of Development Of North Eastern Region,Ministry
615.0,1755,NORTH EASTERN REGIONAL AGRI. MARKETING CORP.LTD.,Organization,1570,Ministry Of Development Of North Eastern Region,Ministry
616.0,1717,NORTHERN COALFIELDS LTD.,Organization,1564,Ministry Of Coal,Ministry
617.0,1862,NTPC ELECTRIC SUPPLY COMPANY LTD.,Organization,492,Ministry of Power,Ministry
618.0,1863,NTPC LTD.,Organization,492,Ministry of Power,Ministry
619.0,2311,NTPC MINING LTD,Organization,492,Ministry of Power,Ministry
620.0,1864,NTPC VIDYUT VYAPAR NIGAM LTD.,Organization,492,Ministry of Power,Ministry
621.0,1821,NUMALIGARH REFINERY LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
622.0,1865,ODISHA INFRAPOWER LTD.,Organization,492,Ministry of Power,Ministry
623.0,1823,OIL INDIA INTERNATIONAL LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
624.0,1824,OIL INDIA LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
625.0,1822,OIL & NATURAL GAS CORPORATION LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
626.0,1825,ONGC MANGALORE PETROCHEMICALS LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
627.0,1826,ONGC VIDESH LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
628.0,2312,ONGC VIDESH ROVUMA LTD. (INDIA),Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
629.0,1866,ORISSA INTEGRATED POWER LTD.,Organization,492,Ministry of Power,Ministry
630.0,1962,ORISSA MINERAL DEVELOPMENT COMPANY LTD.,Organization,1581,Ministry Of Steel,Ministry
631.0,1867,PATRATU VIDYUT UTPADAN NIGAM LTD.,Organization,492,Ministry of Power,Ministry
632.0,1700,PAWAN HANS LTD.,Organization,1563,Ministry Of Civil Aviation,Ministry
633.0,1868,PFC CONSULTING LTD.,Organization,492,Ministry of Power,Ministry
634.0,1978,PONDICHERRY ASHOK HOTEL CORPN. LTD.,Organization,1582,Ministry Of Tourism,Ministry
635.0,1870,POWER EQUITY CAPITAL ADVISORS PVT. LTD.,Organization,492,Ministry of Power,Ministry
636.0,1871,POWER FINANCE CORPORATION LTD.,Organization,492,Ministry of Power,Ministry
637.0,2313,POWER GRID BHUJ TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
638.0,1872,POWER GRID CORPORATION OF INDIA LTD.,Organization,492,Ministry of Power,Ministry
639.0,2314,POWER GRID FATEGARH TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
640.0,1873,POWER GRID JABALPUR TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
641.0,1881,POWERGRID JAWAHARPUR FIROZABAD TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
642.0,1882,POWERGRID KALA AMB TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
643.0,1874,POWER GRID MEDINIPUR JEERAT TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
644.0,2315,POWER GRID MEERUT SIMBHAVALI TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
645.0,1869,POWER GRID MITHILANCHAL TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
646.0,1883,POWERGRID NM TRANMISSION LTD.,Organization,492,Ministry of Power,Ministry
647.0,1875,POWER GRID PARLI TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
648.0,2316,POWER GRID RAMPUR SAMBHAL TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
649.0,1876,POWER GRID SOUTHERN INTERCONNECTOR TRANSMISSION SYSTEM LTD.,Organization,492,Ministry of Power,Ministry
650.0,1884,POWERGRID UNCHAHAR TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
651.0,1877,POWER GRID VARANASI TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
652.0,1878,POWER GRID VEMAGIRI TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
653.0,1885,POWERGRID VIZAG TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
654.0,1879,POWER GRID WARORA TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
655.0,1880,POWER SYSTEM OPERATION CORPORATION LTD.,Organization,492,Ministry of Power,Ministry
656.0,1827,PRIZE PETROLEUM COMPANY LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
657.0,1980,PUNJAB ASHOK HOTEL COMPANY LTD.,Organization,1582,Ministry Of Tourism,Ministry
658.0,1918,PUNJAB LOGISTIC INFRASTRUCTURE LTD.,Organization,1163,Ministry of Railways,Ministry
659.0,1920,RAILTEL CORPORATION INDIA LTD.,Organization,1163,Ministry of Railways,Ministry
660.0,1921,RAILTEL ENTERPRISES LTD.,Organization,1163,Ministry of Railways,Ministry
661.0,1919,RAIL VIKAS NIGAM LTD.,Organization,1163,Ministry of Railways,Ministry
662.0,1922,RAILWAY ENERGY MANAGEMENT COMPANY LTD.,Organization,1163,Ministry of Railways,Ministry
663.0,1981,RANCHI ASHOK BIHAR HOTEL CORPN. LTD.,Organization,1582,Ministry Of Tourism,Ministry
664.0,1663,Rashtriya Ayurveda Vidyapeeth,Organization,1561,Ministry Of Ayush,Ministry
665.0,1963,RASHTRIYA ISPAT NIGAM LTD.,Organization,1581,Ministry Of Steel,Ministry
666.0,1886,REC LTD.,Organization,492,Ministry of Power,Ministry
667.0,1887,REC POWER DISTRIBUTION CO. LTD.,Organization,492,Ministry of Power,Ministry
668.0,1888,REC TRANSMISSION PROJECTS CO. LTD.,Organization,492,Ministry of Power,Ministry
669.0,1923,RITES INFRASTRUCTURE SERVICES LTD.,Organization,1163,Ministry of Railways,Ministry
670.0,1924,RITES LTD.,Organization,1163,Ministry of Railways,Ministry
671.0,1938,SAGARMALA DEVELOPMENT COMPANY LTD.,Organization,1580,Ministry Of Shipping,Ministry
672.0,1964,SAIL REFRACTORY COMPANY LTD.,Organization,1581,Ministry Of Steel,Ministry
673.0,1889,SAKHIGOPAL INTEGRATED POWER COMPANY LTD.,Organization,492,Ministry of Power,Ministry
674.0,1939,SETHUSAMUDRAM CORPN. LTD.,Organization,1580,Ministry Of Shipping,Ministry
675.0,1940,SHIPPING CORPORATION OF INDIA LTD.,Organization,1580,Ministry Of Shipping,Ministry
676.0,2104,SHONGTONG KARCHAM WANGTOO  TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
677.0,1890,SHONGTONG KARCHAM WANGTOO TRANSMISSION LTD,Organization,492,Ministry of Power,Ministry
678.0,1925,SIDCUL CONCOR INFRA COMPANY LTD.,Organization,1163,Ministry of Railways,Ministry
679.0,2145,Singareni Collieries Company ltd,Organization,1564,Ministry Of Coal,Ministry
680.0,1891,SJVN LTD.,Organization,492,Ministry of Power,Ministry
681.0,1892,SJVN THERMAL PVT. LTD.,Organization,492,Ministry of Power,Ministry
682.0,2013,SOLAR ENERGY CORPORATION OF INDIA,Organization,502,MINISTRY OF NEW AND RENEWABLE ENERGY,Ministry
683.0,1893,SOUTH-CENTRAL EAST DELHI POWER TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
684.0,1718,SOUTH EASTERN COALFIELDS LTD.,Organization,1564,Ministry Of Coal,Ministry
685.0,1965,STEEL AUTHORITY OF INDIA LTD.,Organization,1581,Ministry Of Steel,Ministry
686.0,1894,TANDA TRANSMISSION COMPANY LTD.,Organization,492,Ministry of Power,Ministry
687.0,1895,TATIYA ANDHRA MEGA POWER LTD.,Organization,492,Ministry of Power,Ministry
688.0,1896,THDC INDIA LTD.,Organization,492,Ministry of Power,Ministry
689.0,1966,THE BISRA STONE LIME COMPANY LTD.,Organization,1581,Ministry Of Steel,Ministry
690.0,1974,THE COTTON CORPN. OF INDIA LTD.,Organization,504,Ministry of Textiles,Ministry
691.0,1975,THE JUTE CORPN. OF INDIA LTD.,Organization,504,Ministry of Textiles,Ministry
692.0,1897,UDUPI KASARGODE TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
693.0,1982,UTKAL ASHOK HOTEL CORPN. LTD.,Organization,1582,Ministry Of Tourism,Ministry
694.0,2105,VAPI-II NORTH LAKHIMPUR TRANSMISSION LTD.,Organization,492,Ministry of Power,Ministry
695.0,1828,VISAKHAPATANAM PORT LOGISTICS PARK LTD.,Organization,1254,Ministry of Petroleum and Natural Gas,Ministry
696.0,2015,WAPCOS LTD.,Organization,491,"MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVENATION",Ministry
697.0,1719,WESTERN COALFIELDS LTD.,Organization,1564,Ministry Of Coal,Ministry
698.0,1642,WILDLIFE INSTITUTE OF INDIA,Organization,493,"Ministry of Environment,forests and climate change",Ministry
699.0,1898,WRSS XXI(A) TRANSCO LIMITED,Organization,492,Ministry of Power,Ministry
